Task

Answer the following multiple-choice question.

Game

Team A versus Team B, season 22-23.

Play-by-play up to the critical moment

Time | Play | Team A score | Team B score | Win prob (A) | Win prob (B)
12:00-1st | Player 6 (Team A) vs. Player 6 (Team B) (Player 5 (Team B) gains possession) | 0 | 0 | 0.308 | 0.692
11:43-1st | Player 5 (Team B) misses driving floating jump shot | 0 | 0 | 0.321 | 0.679
11:38-1st | Player 6 (Team B) offensive rebound / Player 6 (Team B) misses tip shot | 0 | 0 | 0.322 | 0.678
11:37-1st | Player 6 (Team B) offensive rebound / Player 6 (Team B) makes tip shot | 0 | 2 | 0.284 | 0.716
11:22-1st | Player 9 (Team A) bad pass (Player 5 (Team B) steals) | 0 | 2 | 0.266 | 0.734
11:17-1st | Player 5 (Team B) bad pass (Player 5 (Team A) steals) | 0 | 2 | 0.285 | 0.715
11:12-1st | Player 9 (Team A) makes 26-foot three point shot (Player 3 (Team A) assists) | 3 | 2 | 0.33 | 0.67
10:52-1st | Player 6 (Team B) misses pullup jump shot | 3 | 2 | 0.351 | 0.649
10:50-1st | Player 6 (Team A) defensive rebound | 3 | 2 | 0.358 | 0.642
10:32-1st | Player 3 (Team A) misses 27-foot three point jumper | 3 | 2 | 0.339 | 0.661
10:29-1st | Player 14 (Team B) defensive rebound | 3 | 2 | 0.332 | 0.668
10:20-1st | Player 14 (Team B) makes 25-foot three point jumper (Player 6 (Team B) assists) | 3 | 5 | 0.289 | 0.711
10:11-1st | Player 3 (Team A) out of bounds bad pass turnover | 3 | 5 | 0.269 | 0.731
9:58-1st | Player 5 (Team B) misses step back jumpshot | 3 | 5 | 0.285 | 0.715
9:55-1st | Player 9 (Team A) defensive rebound | 3 | 5 | 0.29 | 0.71
9:45-1st | Player 6 (Team A) makes 26-foot three point jumper (Player 3 (Team A) assists) | 6 | 5 | 0.335 | 0.665
9:36-1st | Player 5 (Team A) personal foul | 6 | 5 | 0.337 | 0.663
9:26-1st | Player 12 (Team B) makes 2-foot dunk (Player 6 (Team B) assists) | 6 | 7 | 0.315 | 0.685
9:15-1st | Player 5 (Team A) makes 27-foot three point jumper (Player 6 (Team A) assists) | 9 | 7 | 0.361 | 0.639
8:58-1st | Player 10 (Team B) misses 26-foot three point jumper | 9 | 7 | 0.381 | 0.619
8:56-1st | Team A defensive team rebound | 9 | 7 | 0.388 | 0.612
8:43-1st | Player 2 (Team A) misses 14-foot step back jumpshot | 9 | 7 | 0.37 | 0.63
8:41-1st | Player 12 (Team B) defensive rebound | 9 | 7 | 0.363 | 0.637
8:40-1st | Player 2 (Team A) shooting foul / Player 12 (Team B) makes free throw 1 of 2 / Player 12 (Team B) makes free throw 2 of 2 | 9 | 9 | 0.34 | 0.66
8:15-1st | Player 9 (Team A) misses 25-foot three point jumper | 9 | 9 | 0.325 | 0.675
8:12-1st | Player 12 (Team B) defensive rebound | 9 | 9 | 0.32 | 0.68
8:08-1st | Player 5 (Team A) blocks Player 6 (Team B) 's 2-foot two point shot | 9 | 9 | 0.336 | 0.664
8:07-1st | Player 9 (Team A) defensive rebound / Player 6 (Team B) personal foul | 9 | 9 | 0.341 | 0.659
7:56-1st | Player 12 (Team B) kicked ball violation | 9 | 9 | 0.319 | 0.681
7:48-1st | Player 5 (Team A) misses layup | 9 | 9 | 0.325 | 0.675
7:46-1st | Player 5 (Team A) offensive rebound | 9 | 9 | 0.343 | 0.657
7:44-1st | Player 5 (Team A) bad pass (Player 6 (Team B) steals) | 9 | 9 | 0.32 | 0.68
7:40-1st | Player 6 (Team B) makes two point shot (Player 5 (Team B) assists) | 9 | 11 | 0.298 | 0.702
7:27-1st | Player 14 (Team B) personal foul | 9 | 11 | 0.298 | 0.702
7:22-1st | Player 2 (Team A) makes 4-foot driving dunk (Player 3 (Team A) assists) | 11 | 11 | 0.321 | 0.679
7:03-1st | Player 5 (Team B) makes 23-foot step back jumpshot | 11 | 14 | 0.277 | 0.723
6:52-1st | Player 2 (Team A) makes 1-foot two point shot | 13 | 14 | 0.3 | 0.7
6:38-1st | Player 5 (Team A) shooting foul / Team B Full timeout / Player 5 (Team B) makes free throw 1 of 2 / Player 5 (Team B) misses free throw 2 of 2 / Player 7 (Team B) enters the game for Player 14 (Team B) | 13 | 15 | 0.301 | 0.699
6:34-1st | Player 9 (Team A) defensive rebound | 13 | 15 | 0.301 | 0.699
6:20-1st | Player 7 (Team B) blocks Player 6 (Team A)'s layup | 13 | 15 | 0.286 | 0.714
6:17-1st | Player 7 (Team B) defensive rebound | 13 | 15 | 0.28 | 0.72
6:11-1st | Player 5 (Team B) misses 28-foot three point jumper | 13 | 15 | 0.297 | 0.703
6:08-1st | Player 5 (Team A) defensive rebound | 13 | 15 | 0.302 | 0.698
5:57-1st | Player 5 (Team A) misses 26-foot three point jumper | 13 | 15 | 0.287 | 0.713
5:53-1st | Player 12 (Team B) defensive rebound | 13 | 15 | 0.281 | 0.719
5:47-1st | Player 3 (Team A) personal foul / Player 16 (Team B) enters the game for Player 12 (Team B) | 13 | 15 | 0.25 | 0.75
5:40-1st | Player 5 (Team B) makes 4-foot layup (Player 7 (Team B) assists) | 13 | 17 | 0.262 | 0.738
5:30-1st | Player 3 (Team A) makes 12-foot driving floating jump shot (Player 2 (Team A) assists) | 15 | 17 | 0.283 | 0.717
5:24-1st | Team B Full timeout / Player 8 (Team A) enters the game for Player 9 (Team A) / Player 10 (Team A) enters the game for Player 6 (Team A) | 15 | 17 | 0.283 | 0.717
5:18-1st | Player 16 (Team B) misses layup | 15 | 17 | 0.299 | 0.701
5:15-1st | Player 10 (Team A) defensive rebound | 15 | 17 | 0.305 | 0.695
4:57-1st | Player 2 (Team A) bad pass (Player 5 (Team B) steals) | 15 | 17 | 0.284 | 0.716
4:50-1st | Player 5 (Team B) makes driving layup | 15 | 19 | 0.263 | 0.737
4:36-1st | Player 10 (Team A) makes 27-foot three point jumper (Player 3 (Team A) assists) | 18 | 19 | 0.307 | 0.693
4:13-1st | Player 7 (Team B) misses 26-foot three point pullup jump shot | 18 | 19 | 0.327 | 0.673
4:11-1st | Player 8 (Team A) defensive rebound | 18 | 19 | 0.333 | 0.667
4:08-1st | Player 6 (Team B) blocks Player 8 (Team A) 's 3-foot two point shot | 18 | 19 | 0.314 | 0.686
4:05-1st | Player 16 (Team B) defensive rebound | 18 | 19 | 0.308 | 0.692
4:04-1st | Player 7 (Team B) out of bounds bad pass turnover / Player 11 (Team B) enters the game for Player 5 (Team B) / Player 8 (Team B) enters the game for Player 10 (Team B) / Player 11 (Team A) enters the game for Player 3 (Team A) / Player 7 (Team A) enters the game for Player 5 (Team A) | 18 | 19 | 0.333 | 0.667
3:53-1st | Player 6 (Team B) shooting foul / Player 2 (Team A) makes free throw 1 of 2 / Player 1 (Team B) enters the game for Player 6 (Team B) / Player 2 (Team A) makes free throw 2 of 2 | 20 | 19 | 0.358 | 0.642
3:38-1st | Player 7 (Team B) makes 27-foot three point jumper (Player 11 (Team B) assists) | 20 | 22 | 0.31 | 0.69
3:26-1st | Player 10 (Team A) makes 24-foot three point jumper (Player 2 (Team A) assists) | 23 | 22 | 0.36 | 0.64
3:13-1st | Player 11 (Team B) makes 26-foot three point jumper (Player 1 (Team B) assists) | 23 | 25 | 0.311 | 0.689
3:02-1st | Player 8 (Team B) shooting foul / Player 2 (Team A) makes free throw 1 of 2 / Player 2 (Team A) misses free throw 2 of 2 | 24 | 25 | 0.308 | 0.692
2:59-1st | Player 16 (Team B) defensive rebound | 24 | 25 | 0.308 | 0.692
2:48-1st | Player 8 (Team A) personal foul / Player 7 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 7 (Team B) misses free throw 2 of 2 | 24 | 25 | 0.335 | 0.665
2:45-1st | Player 10 (Team A) defensive rebound | 24 | 25 | 0.335 | 0.665
2:38-1st | Player 16 (Team B) shooting foul / Player 2 (Team A) makes free throw 1 of 2 / Player 2 (Team A) makes free throw 2 of 2 | 26 | 25 | 0.363 | 0.637
2:28-1st | Player 7 (Team B) misses two point shot | 26 | 25 | 0.386 | 0.614
2:27-1st | Team B offensive team rebound | 26 | 25 | 0.364 | 0.636
2:25-1st | Player 11 (Team B) makes jumper (Player 7 (Team B) assists) | 26 | 27 | 0.337 | 0.663
2:10-1st | Player 10 (Team A) makes 26-foot three pointer (Player 2 (Team A) assists) | 29 | 27 | 0.391 | 0.609
2:00-1st | Player 7 (Team B) makes 24-foot three pointer | 29 | 30 | 0.338 | 0.662
1:45-1st | Player 2 (Team A) lost ball turnover (Player 7 (Team B) steals) | 29 | 30 | 0.311 | 0.689
1:44-1st | Player 7 (Team B) out of bounds bad pass turnover | 29 | 30 | 0.339 | 0.661
1:27-1st | Player 10 (Team A) misses 24-foot step back jumpshot | 29 | 30 | 0.319 | 0.681
1:24-1st | Player 8 (Team B) defensive rebound | 29 | 30 | 0.312 | 0.688
1:17-1st | Player 8 (Team B) misses 17-foot two point shot | 29 | 30 | 0.334 | 0.666
1:14-1st | Player 2 (Team A) defensive rebound | 29 | 30 | 0.341 | 0.659
1:07-1st | Player 2 (Team A) makes 16-foot step back jumpshot | 31 | 30 | 0.369 | 0.631
57.1-1st | Player 1 (Team B) misses 26-foot three point jumper | 31 | 30 | 0.393 | 0.607
53.1-1st | Player 7 (Team A) defensive rebound | 31 | 30 | 0.401 | 0.599
50.0-1st | Player 8 (Team B) shooting foul / Player 2 (Team A) makes free throw 1 of 2 / Player 5 (Team B) enters the game for Player 8 (Team B) / Player 9 (Team A) enters the game for Player 11 (Team A) / Player 2 (Team A) makes free throw 2 of 2 | 33 | 30 | 0.425 | 0.575
39.1-1st | Player 16 (Team B) makes two point shot (Player 5 (Team B) assists) | 33 | 32 | 0.403 | 0.597
28.1-1st | Player 8 (Team A) makes 23-foot three point jumper (Player 2 (Team A) assists) | 36 | 32 | 0.456 | 0.544
12.1-1st | Player 16 (Team B) makes 4-foot two point shot (Player 7 (Team B) assists) | 36 | 34 | 0.43 | 0.57
5.1-1st | Player 2 (Team A) traveling | 36 | 34 | 0.399 | 0.601
2.1-1st | Player 5 (Team B) lost ball turnover (Player 10 (Team A) steals) | 36 | 34 | 0.431 | 0.569
0.0-1st | End of the 1st Quarter | 36 | 34 | 0.412 | 0.588
12:00-2nd | Player 3 (Team A) enters the game for Player 2 (Team A) / Player 6 (Team A) enters the game for Player 7 (Team A) / Player 11 (Team A) enters the game for Player 10 (Team A) | 36 | 34 | 0.412 | 0.588
11:48-2nd | Player 3 (Team A) misses 4-foot two point shot | 36 | 34 | 0.409 | 0.591
11:46-2nd | Player 1 (Team B) defensive rebound | 36 | 34 | 0.402 | 0.598
11:39-2nd | Player 5 (Team B) misses driving layup | 36 | 34 | 0.425 | 0.575
11:37-2nd | Player 6 (Team A) defensive rebound | 36 | 34 | 0.432 | 0.568
11:23-2nd | Player 5 (Team B) shooting foul / Player 9 (Team A) misses free throw 1 of 2 / Team A offensive team rebound / Player 9 (Team A) makes free throw 2 of 2 | 37 | 34 | 0.432 | 0.568
11:10-2nd | Player 11 (Team B) makes 27-foot three point jumper (Player 16 (Team B) assists) | 37 | 37 | 0.376 | 0.624
10:57-2nd | Player 11 (Team A) misses 15-foot step back jumpshot | 37 | 37 | 0.355 | 0.645
10:55-2nd | Player 1 (Team B) defensive rebound | 37 | 37 | 0.348 | 0.652
10:53-2nd | Player 5 (Team B) makes two point shot / Player 8 (Team A) shooting foul / Player 5 (Team B) makes free throw 1 of 1 | 37 | 40 | 0.299 | 0.701
10:32-2nd | Player 6 (Team A) makes 25-foot three point jumper (Player 9 (Team A) assists) | 40 | 40 | 0.35 | 0.65
10:19-2nd | Player 5 (Team B) makes driving layup / Player 6 (Team A) shooting foul / Player 5 (Team B) makes free throw 1 of 1 | 40 | 43 | 0.301 | 0.699
10:09-2nd | Player 3 (Team A) lost ball turnover (Player 7 (Team B) steals) | 40 | 43 | 0.276 | 0.724
10:05-2nd | Player 7 (Team B) makes dunk (Player 11 (Team B) assists) / Team A Full timeout / Player 5 (Team A) enters the game for Player 11 (Team A) | 40 | 45 | 0.252 | 0.748
9:48-2nd | Player 5 (Team A) makes 26-foot three point jumper (Player 9 (Team A) assists) | 43 | 45 | 0.301 | 0.699
9:25-2nd | Player 16 (Team B) misses 29-foot three point pullup jump shot | 43 | 45 | 0.322 | 0.678
9:24-2nd | Team B offensive team rebound / shot clock turnover  / Player 10 (Team B) enters the game for Player 7 (Team B) | 43 | 45 | 0.328 | 0.672
9:17-2nd | Player 9 (Team A) misses 27-foot three point jumper | 43 | 45 | 0.309 | 0.691
9:14-2nd | Player 6 (Team A) offensive rebound | 43 | 45 | 0.329 | 0.671
9:10-2nd | Player 5 (Team B) shooting foul / Player 6 (Team A) makes free throw 1 of 2 / Player 8 (Team B) enters the game for Player 16 (Team B) / Player 6 (Team A) makes free throw 2 of 2 | 45 | 45 | 0.356 | 0.644
9:01-2nd | Player 11 (Team B) misses 26-foot three point jumper | 45 | 45 | 0.378 | 0.622
8:56-2nd | Player 6 (Team A) defensive rebound | 45 | 45 | 0.385 | 0.615
8:37-2nd | Player 5 (Team A) makes 26-foot three point jumper (Player 6 (Team A) assists) | 48 | 45 | 0.443 | 0.557
8:14-2nd | Player 8 (Team B) misses 28-foot three point jumper | 48 | 45 | 0.469 | 0.531
8:12-2nd | Player 5 (Team A) defensive rebound | 48 | 45 | 0.477 | 0.523
8:02-2nd | Player 3 (Team A) makes 3-foot two point shot (Player 6 (Team A) assists) | 50 | 45 | 0.51 | 0.49
7:52-2nd | Player 5 (Team B) makes 25-foot three pointer | 50 | 48 | 0.449 | 0.551
7:32-2nd | Player 3 (Team A) makes 5-foot two point shot | 52 | 48 | 0.482 | 0.518
7:17-2nd | Player 1 (Team B) makes dunk (Player 8 (Team B) assists) | 52 | 50 | 0.452 | 0.548
7:04-2nd | Player 5 (Team A) misses 27-foot step back jumpshot | 52 | 50 | 0.431 | 0.569
7:01-2nd | Player 1 (Team B) defensive rebound | 52 | 50 | 0.423 | 0.577
6:56-2nd | Player 9 (Team A) shooting foul / Player 5 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 6 (Team B) enters the game for Player 11 (Team B) / Player 14 (Team B) enters the game for Player 1 (Team B) / Player 2 (Team A) enters the game for Player 3 (Team A) / Player 10 (Team A) enters the game for Player 6 (Team A) / Player 5 (Team B) makes free throw 2 of 2 | 52 | 51 | 0.423 | 0.577
6:43-2nd | Player 8 (Team A) misses 14-foot two point shot | 52 | 51 | 0.402 | 0.598
6:41-2nd | Player 5 (Team B) defensive rebound | 52 | 51 | 0.395 | 0.605
6:38-2nd | Player 2 (Team A) shooting foul / Player 5 (Team B) makes free throw 1 of 2 / Player 7 (Team A) enters the game for Player 8 (Team A) / Player 5 (Team B) makes free throw 2 of 2 | 52 | 53 | 0.365 | 0.635
6:26-2nd | Player 10 (Team A) makes 3-foot two point shot (Player 7 (Team A) assists) | 54 | 53 | 0.396 | 0.604
6:03-2nd | Player 14 (Team B) traveling | 54 | 53 | 0.429 | 0.571
5:48-2nd | Player 5 (Team A) misses pullup jump shot | 54 | 53 | 0.407 | 0.593
5:44-2nd | Player 9 (Team A) offensive rebound | 54 | 53 | 0.43 | 0.57
5:42-2nd | Player 10 (Team A) makes 25-foot three point jumper (Player 9 (Team A) assists) | 57 | 53 | 0.493 | 0.507
5:34-2nd | Player 10 (Team A) personal foul / Player 6 (Team B) makes free throw 1 of 2 / Player 7 (Team B) enters the game for Player 5 (Team B) / Player 12 (Team B) enters the game for Player 8 (Team B) / Player 6 (Team B) misses free throw 2 of 2 | 57 | 54 | 0.497 | 0.503
5:30-2nd | Player 7 (Team A) defensive rebound | 57 | 54 | 0.498 | 0.502
