Task

Answer the following multiple-choice question.

Game

Team A versus Team B, season 22-23.

Play-by-play up to the critical moment

Time | Play | Team A score | Team B score | Win prob (A) | Win prob (B)
6:20-2nd | Player 7 (Team A) vs. Player 6 (Team B) (Player 13 (Team A) gains possession) | 0 | 0 | 0.496 | 0.504
4:11-3rd | Player 1 (Team A) misses 20-foot pullup jump shot | 0 | 0 | 0.481 | 0.519
7:50-1st | Player 6 (Team B) defensive rebound | 0 | 0 | 0.476 | 0.524
7:41-2nd | Player 6 (Team B) makes 26-foot three point jumper (Player 4 (Team B) assists) | 0 | 3 | 0.424 | 0.576
18.1-2nd | Player 12 (Team A) misses 17-foot pullup jump shot | 0 | 3 | 0.404 | 0.596
10:19-2nd | Player 3 (Team B) defensive rebound | 0 | 3 | 0.397 | 0.603
9:01-3rd | Player 3 (Team B) makes 1-foot dunk (Player 2 (Team B) assists) / Team A Full timeout | 0 | 5 | 0.376 | 0.624
12:00-2nd | Player 13 (Team A) bad pass (Player 6 (Team B) steals) | 0 | 5 | 0.351 | 0.649
8:11-3rd | Player 6 (Team B) bad pass (Player 13 (Team A) steals) | 0 | 5 | 0.375 | 0.625
6:06-1st | Player 12 (Team A) misses 17-foot pullup jump shot | 0 | 5 | 0.357 | 0.643
4:28-2nd | Player 14 (Team A) offensive rebound | 0 | 5 | 0.375 | 0.625
1:02-1st | Player 13 (Team A) misses three point jumper | 0 | 5 | 0.357 | 0.643
5:12-3rd | Player 4 (Team B) defensive rebound | 0 | 5 | 0.351 | 0.649
44.0-1st | Player 2 (Team B) makes two point shot (Player 6 (Team B) assists) | 0 | 7 | 0.325 | 0.675
10:37-3rd | Player 12 (Team A) offensive charge / Player 12 (Team A) turnover | 0 | 7 | 0.304 | 0.696
1:22-1st | Player 2 (Team B) misses 20-foot step back jumpshot | 0 | 7 | 0.319 | 0.681
7:57-3rd | Player 1 (Team A) defensive rebound | 0 | 7 | 0.324 | 0.676
11:00-3rd | Player 13 (Team A) makes driving layup | 2 | 7 | 0.35 | 0.65
4:10-1st | Player 4 (Team B) misses 26-foot three point jumper | 2 | 7 | 0.368 | 0.632
2:11-1st | Player 13 (Team A) defensive rebound | 2 | 7 | 0.374 | 0.626
4:48-1st | Player 14 (Team A) makes three point jumper (Player 1 (Team A) assists) | 5 | 7 | 0.423 | 0.577
5:28-2nd | Player 2 (Team B) misses driving layup | 5 | 7 | 0.442 | 0.558
4:50-2nd | Player 1 (Team A) defensive rebound | 5 | 7 | 0.448 | 0.552
4:37-2nd | Player 1 (Team A) bad pass (Player 6 (Team B) steals) | 5 | 7 | 0.423 | 0.577
4:36-1st | Player 4 (Team B) makes two point shot (Player 3 (Team B) assists) | 5 | 9 | 0.398 | 0.602
5:51-1st | Player 1 (Team A) makes 25-foot three point jumper (Player 12 (Team A) assists) | 8 | 9 | 0.443 | 0.557
7:36-2nd | Player 6 (Team B) misses 14-foot two point shot | 8 | 9 | 0.467 | 0.533
8:22-1st | Player 14 (Team A) defensive rebound | 8 | 9 | 0.475 | 0.525
6:42-2nd | Player 1 (Team A) misses 24-foot three point jumper | 8 | 9 | 0.451 | 0.549
4:17-3rd | Player 5 (Team B) defensive rebound | 8 | 9 | 0.443 | 0.557
6:16-1st | Player 2 (Team B) lost ball turnover (Player 1 (Team A) steals) | 8 | 9 | 0.475 | 0.525
7:47-1st | Player 3 (Team B) shooting foul / Player 1 (Team A) makes free throw 1 of 2 / Player 1 (Team A) makes free throw 2 of 2 | 10 | 9 | 0.499 | 0.501
10:36-2nd | Player 3 (Team B) makes driving layup / Player 1 (Team A) shooting foul / Player 3 (Team B) misses free throw 1 of 1 | 10 | 11 | 0.474 | 0.526
5:35-1st | Player 14 (Team A) defensive rebound | 10 | 11 | 0.474 | 0.526
5:49-3rd | Player 12 (Team A) makes 16-foot pullup jump shot (Player 13 (Team A) assists) | 12 | 11 | 0.5 | 0.5
9:27-1st | Player 13 (Team A) shooting foul / Player 2 (Team B) misses free throw 1 of 2 / Team B offensive team rebound / Player 2 (Team B) makes free throw 2 of 2 | 12 | 12 | 0.501 | 0.499
5:01-3rd | Player 6 (Team B) shooting foul / Player 12 (Team A) misses free throw 1 of 2 / Team A offensive team rebound / Player 12 (Team A) makes free throw 2 of 2 | 13 | 12 | 0.5 | 0.5
11:12-1st | Player 3 (Team B) misses 26-foot three point jumper | 13 | 12 | 0.521 | 0.479
8:52-1st | Player 7 (Team A) defensive rebound | 13 | 12 | 0.527 | 0.473
4:27-1st | Player 7 (Team A) makes two point shot (Player 13 (Team A) assists) | 15 | 12 | 0.555 | 0.445
0.0-2nd | Player 3 (Team B) misses 13-foot two point shot | 15 | 12 | 0.574 | 0.426
9:04-3rd | Player 1 (Team A) defensive rebound | 15 | 12 | 0.581 | 0.419
3:47-3rd | Player 14 (Team A) misses 24-foot three point jumper | 15 | 12 | 0.562 | 0.438
25.1-1st | Player 7 (Team A) offensive rebound | 15 | 12 | 0.581 | 0.419
2.1-1st | Player 14 (Team A) misses 22-foot three point jumper | 15 | 12 | 0.562 | 0.438
10:20-1st | Player 7 (Team A) offensive rebound | 15 | 12 | 0.581 | 0.419
1:11-1st | Player 1 (Team A) makes 27-foot three point jumper (Player 7 (Team A) assists) | 18 | 12 | 0.634 | 0.366
10:51-3rd | Team B Full timeout / Player 7 (Team B) enters the game for Player 5 (Team B) / Player 1 (Team B) enters the game for Player 6 (Team B) / Player 13 (Team B) enters the game for Player 3 (Team B) | 18 | 12 | 0.634 | 0.366
7:40-3rd | Player 1 (Team B) out of bounds lost ball turnover | 18 | 12 | 0.659 | 0.341
3:45-3rd | Player 13 (Team A) misses 26-foot three point jumper | 18 | 12 | 0.641 | 0.359
9:57-1st | Player 2 (Team B) defensive rebound | 18 | 12 | 0.635 | 0.365
9:34-2nd | Player 2 (Team B) misses two point shot | 18 | 12 | 0.654 | 0.346
8:25-3rd | Player 7 (Team A) defensive rebound | 18 | 12 | 0.661 | 0.339
1:27-2nd | Player 12 (Team A) misses 11-foot two point shot | 18 | 12 | 0.642 | 0.358
1:42-1st | Player 14 (Team A) offensive rebound | 18 | 12 | 0.661 | 0.339
5:08-1st | Player 12 (Team A) makes layup (Player 14 (Team A) assists) | 20 | 12 | 0.685 | 0.315
9:55-2nd | Player 12 (Team A) blocks Player 2 (Team B) 's 2-foot driving layup | 20 | 12 | 0.704 | 0.296
10:59-2nd | Player 7 (Team B) offensive rebound / Player 13 (Team B) makes dunk (Player 7 (Team B) assists) | 20 | 14 | 0.662 | 0.338
4:45-3rd | Player 12 (Team A) misses 23-foot three point jumper | 20 | 14 | 0.643 | 0.357
7:31-1st | Player 4 (Team B) defensive rebound | 20 | 14 | 0.637 | 0.363
3:37-2nd | Player 4 (Team B) makes 25-foot three pointer | 20 | 17 | 0.584 | 0.416
6:45-1st | Player 1 (Team A) makes driving layup (Player 13 (Team A) assists) | 22 | 17 | 0.613 | 0.387
35.0-1st | Player 2 (Team B) traveling / Player 8 (Team A) enters the game for Player 14 (Team A) / Player 11 (Team A) enters the game for Player 7 (Team A) / Player 7 (Team A) blocks Player 2 (Team B)'s driving layup / Player 2 (Team B) offensive rebound | 22 | 17 | 0.612 | 0.388
4:40-1st | Player 12 (Team A) makes 23-foot three point jumper (Player 13 (Team A) assists) | 25 | 17 | 0.689 | 0.311
7:28-2nd | Player 13 (Team B) misses 23-foot three point jumper | 25 | 17 | 0.709 | 0.291
6:28-3rd | Player 13 (Team A) defensive rebound | 25 | 17 | 0.715 | 0.285
2:44-2nd | Player 8 (Team A) makes 24-foot three point jumper (Player 13 (Team A) assists) | 28 | 17 | 0.762 | 0.238
8:40-3rd | Player 2 (Team B) offensive foul / Player 2 (Team B) turnover / Player 5 (Team B) enters the game for Player 2 (Team B) / Player 18 (Team B) enters the game for Player 13 (Team B) / Player 14 (Team A) enters the game for Player 1 (Team A) | 28 | 17 | 0.784 | 0.216
6:02-3rd | Player 14 (Team A) misses 23-foot three point jumper | 28 | 17 | 0.769 | 0.231
47.1-2nd | Player 5 (Team B) defensive rebound | 28 | 17 | 0.764 | 0.236
7:44-2nd | Player 7 (Team B) misses 19-foot step back jumpshot | 28 | 17 | 0.781 | 0.219
10:58-1st | Player 4 (Team B) offensive rebound / Player 4 (Team B) makes tip shot | 28 | 19 | 0.742 | 0.258
6:23-2nd | Player 13 (Team A) misses 4-foot two point shot | 28 | 19 | 0.723 | 0.277
0.1-2nd | Player 13 (Team A) offensive rebound | 28 | 19 | 0.743 | 0.257
4:46-1st | Player 13 (Team A) misses 3-foot two point shot | 28 | 19 | 0.723 | 0.277
11:12-3rd | Player 14 (Team A) offensive rebound | 28 | 19 | 0.743 | 0.257
5:44-2nd | Player 7 (Team B) personal foul / Player 7 (Team A) enters the game for Player 12 (Team A) / Player 6 (Team A) enters the game for Player 14 (Team A) | 28 | 19 | 0.776 | 0.224
4:24-1st | Player 11 (Team A) misses 26-foot step back jumpshot | 28 | 19 | 0.727 | 0.273
9:05-2nd | Player 5 (Team B) defensive rebound | 28 | 19 | 0.722 | 0.278
10:09-1st | Player 18 (Team B) offensive foul / Player 18 (Team B) turnover | 28 | 19 | 0.745 | 0.255
1:14-2nd | Player 8 (Team A) makes 27-foot three point jumper (Player 13 (Team A) assists) | 31 | 19 | 0.786 | 0.214
